,Implementation,Application-defined,PKIX path validation[109],CRL[110],OCSP[111],DANE (DNSSEC)[112],Trust on First Use (TOFU),Unnamed: 7
0,Botan,Yes,Yes,Yes,Yes,No,No,
1,Bouncy Castle,Yes,Yes,Yes,Yes,Yes,No,
2,cryptlib,Yes,Yes,Yes,Yes,No,No,
3,GnuTLS,Yes,Yes,Yes,Yes,Yes,Yes,
4,JSSE,Yes,Yes,Yes,Yes,No,No,
5,LibreSSL,Yes,Yes,Yes,Yes,No,No,
6,MatrixSSL,Yes,Yes,Yes,Yes[113],No,No,
7,mbed TLS,Yes,Yes,Yes,Yes[114],No,No,
8,NSS,Yes,Yes,Yes,Yes,No[115],No,
9,OpenSSL,Yes,Yes,Yes,Yes,Yes,No,
10,RSA BSAFE,Yes,Yes,Yes,Yes,No,No,
11,SChannel,Unknown,Yes,Yes[116],Yes[116],No,No,
12,Secure Transport,Yes,Yes,Yes,Yes,No,No,
13,wolfSSL,Yes,Yes,Yes,Yes,No,No,
14,Erlang/OTP SSL application,Yes,Yes,Yes,No,No,No,
15,Implementation,Application-defined,PKIX path validation[109],CRL[110],OCSP[111],DANE (DNSSEC)[112],Trust on First Use (TOFU),
