,Name,English,Afrikaans,Danish,Dutch,French,German,Italian,Norwegian,Polish,Russian,Spanish,Swedish
0,Agelong Tree[a],Yes,No[b],No[b],Yes,Yes,Yes,Yes,No[b],Yes,Yes,Yes,No[b]
1,Ahnenblatt[c],Yes,No[b],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,Ancestral Quest[d],Yes,No[b],Yes,No[b],Yes,Yes,No[b],Yes,Partial,No,Yes,Partial
3,Brother's Keeper,Yes,Yes,Yes,Yes,Yes,Yes,No[b],Yes,Yes,Yes,No[b],Yes
4,Family Historian,Yes,No,No,No,No,No,No,No,No,No,No,No
5,Family Tree Builder,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6,Family Tree Maker (Windows),Yes,No,Yes,No,No,No,No,No,No,No,No,No
7,Family Tree Maker for Mac,Yes,No,No,No,No,No,No,No,No,No,No,No
8,GEDitCOM II,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes
9,Genbox Family History[f],Yes,No,Yes,Yes,Yes,Yes,Yes,Partial,Yes,Yes,Partial,Partial
10,GenealogyJ,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
11,GenEarth,Yes,No,No,No,Yes,No,No,No,No,No,No,No
12,Genney,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes
13,GenoPro[g][h],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
14,Gramps[i],Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,Heredis,Yes,No,No,No,Yes,No,No,No,No,No,No,No
16,Legacy Family Tree,Yes[j],Yes,Yes,Yes,Yes,Yes,Yes,Yes[k],No,No,publictest,Yes
17,LifeLines,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes
18,MacFamilyTree,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
19,Personal Ancestral File,(v4.x/5.x),No,No,No,(v4.x),(v4.x/5.x),No,No,No,No,(v4.x),(v5.x)
20,Reunion[l],Yes,No,No,Yes[l],Yes[l],Yes[l],No,Yes[l],No,No,No,No
21,RootsMagic,Yes,No,No,No,No,No,No,No,No,No,No,No
22,The Master Genealogist,Yes[n],Yes,Yes,Yes,Yes,Yes,Partial,Yes,No[g],No,No[g],Yes
