,Unnamed: 0,Trident,Gecko,WebKit,Presto,Blink
0,Called as function,Called as function,Called as function,Called as function,Called as function,Called as function
1,Object([value]),Yes,Yes,Yes,Yes,Yes
2,Called as constructor,Called as constructor,Called as constructor,Called as constructor,Called as constructor,Called as constructor
3,new Object([value]),4.0,Yes,Yes,Yes,Yes
4,Properties,Properties,Properties,Properties,Properties,Properties
5,prototype,4.0,Yes,Yes,Yes,Yes
6,Properties of prototype,Properties of prototype,Properties of prototype,Properties of prototype,Properties of prototype,Properties of prototype
7,constructor,4.0,Yes,Yes,Yes,Yes
8,toString(),4.0,Yes,Yes,Yes,Yes
9,toLocaleString(),4.0,Yes,Yes,Yes,Yes
10,valueOf(),4.0,Yes,Yes,Yes,Yes
11,hasOwnProperty(V),5.5,Yes,3,Yes,Yes
12,isPrototypeOf(V),5.5,Yes,3,Yes,Yes
13,propertyIsEnumerable(V),5.5,Yes,3,Yes,Yes
