,Name,Drawing atop text[unclear],"Text box, flow diagram[unclear]",Text and paragraph formatting,Insert hyperlink[unclear],Insert image,Resize image,Insert table,Insert audio,Insert video,Insert SWF,Attachment[unclear],Other objects,Remarks / other features
0,AllMyNotes Organizer,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,"Alarms, check-boxes, bullets, phones, advanced links, autosaving; last cursor position memory,passwords on tree folders,failure-resistant self-healing DB engine",
1,BasKet Note Pads,?,?,Yes,Yes,Yes,?,No,No,No,No,Yes,"tags (check boxes, etc.)","Adding, managing notes by category, autosave"
2,Cherrytree,?,?,Yes,Yes,Yes,?,Yes,?,?,?,Yes,?,
3,CintaNotes,No,No,Yes,Yes,No,?,No,No,No,No,Yes,Links to notes,"Tagging and searching for tags, tag hierarchy"
4,ConnectedText,No,Yes,Yes,Yes,Yes,?,Yes,No,Yes,No,Yes,Scripting of pages with Python and other scripting languages.,"LaTex, Scripts, RSS Feeds, Transclusion, Directed Graphs and Flowcharts by GraphViz, many other features."
5,Day One,No,No,Yes,Yes,Yes,?,Yes,No,Yes,No,No,"tags, bullets, numbering, line, programming code snippets","editable note metadata (date/time, location, weather, motion activity, music playing, step count)"
6,Org-mode (Emacs),?,Yes,Yes,Yes,Yes,?,Yes,No,No,No,Yes,"Advanced linking,[clarification needed] bullets, tags, checkboxes, full spreadsheet, embedding of programming code, formulas, markup","Major mode of Emacs; uses plain-text; includes ToDos, spreadsheet, deadlines, encryption, reminders, agenda, calendar"
7,Evernote,No,No,Yes,Yes,Yes,Yes (at least Microsoft Windows version (06/2016)),Yes,Yes,Yes,No,Yes,"Check-box, line, tags","Business and personal notes integrated in same client; businesses have control over business notes, but cannot see personal notes"
8,Gnote,No,No,Yes,Yes,No,No,No,No,No,No,No,?,Port of Tomboy to C++; wiki-style linked notes
9,Google Keep,No,No,Yes,Yes,Yes,?,Partial[Notes 12],Yes,?,No,No,Google Calendar reminders,Notes can be shared with other Google Keep users.
10,IPython Notebook,?,?,?,?,?,?,?,?,?,?,?,?,"Part of IPython shell; allows for programming code, output and annotation to be combined in single interactive environment"
11,KeyNote NF,No,No,Yes,Yes,Yes[Notes 13],Yes,Yes[Notes 14],No,No,No,Yes,"OLE objects; ""virtual nodes"" which integrate and edit the content of external plain-text or rich-text files; internal links; mirror nodes.","Text processing; tree numbering and sorting; custom tree icons; node checkboxes; checkbox filtering; search filtering; reminder alarms; compressed or encrypted notebooks; auto-minimize and/or auto-lock when idle; quick access key for fast notes; additional scratchpad; autosave of up to 9 previous file versions; automatic clipboard capturing; read-only notebooks or notes; macros; templates; text shortcuts; plug-ins; bookmarks; custom keyboard shortcuts; program can be made portable through ""Options"" setting"
12,Memonic,?,?,?,?,?,?,?,?,?,?,?,?,
13,Microsoft OneNote,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[Notes 15],Yes,Yes,Yes,"OLE, bullets, line, flags, formulas",No local storage of notebooks on Mac or versions past Office 2016[3]
14,MyInfo,?,?,Yes,Yes,Yes,?,Yes,Yes,No,No,Yes,"OLE, bullets, numbering, page breaks, advanced links",Tags; filters; calendar; reminders
15,MyNotex,?,?,Yes,Yes,Yes,?,?,?,?,?,Yes,?,Activity lists; tags; notes management by subject; encryption with AES or GPG; multilingual
16,Notational Velocity,?,?,?,?,?,?,?,?,?,?,?,?,Instant open and searching
17,Okular,?,?,?,?,?,?,?,?,?,?,?,?,
18,Open-Sankoré,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,"plug-ins, web pages, applications",Annotate live desktop applications and web pages; autosave; plug-in system; audio recording
19,Outline,Yes,Yes,Yes,Yes,Yes,?,Yes,No,No,No,Yes,Tags,"Password protection, insert web pages, local storage, MS OneNote compatibility, text highlighting, bulleted and numbered lists, free placement of notes on a page"
20,PDF Studio,?,?,?,?,?,?,?,?,?,?,?,?,
21,Personal Knowbase,?,?,?,Yes,?,?,?,?,?,?,Yes,?,Passwords; portable[clarification needed]
22,Qiqqa,Yes,Yes,No,Yes,Yes,?,No,No,No,No,No,"PDF, brainstorm, citations",
23,TagSpaces,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,?,"Tags, plugins","Plugins, you can present your local images, videos and music to your TV via ChromeCast. You can create a personal ""wiki"" for tracking of your projects, ideas or memories."
24,Simplenote,No,No,Yes,Yes,No,?,No,No,No,No,No,,
25,TiddlyWiki,?,Yes(with plugin),Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,"HTML, LaTeX, markdown plugins",Plugins; user scripts
26,Tomboy,Partial,No,Partial,Yes,No,No,No,No,No,No,No,"Note Links, highlighting, fixed-width",Reminders; to do-lists; formulas in LaTeX
27,TreeDBNotes,?,?,Yes,Yes,Yes,?,Yes,No,No,Yes,Yes,?,
28,WikidPad,?,?,?,?,?,?,?,?,?,?,?,?,personal wiki software
29,Microsoft Windows Journal,?,?,?,?,?,?,?,?,?,?,?,?,
30,Zim,No,Yes[4],Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,"Plugins; Versioning; LaTeX integration (formulas, export); HTML export (including slideshow); GNOME's Zeitgeist integration; Lilypond music sheet integration",ASCII diagram drawing; Tags; Tasks; Table of Content navigation; SQLite3 search indexing; Autosaving; Last cursor position memory; Tabbed multi-documents
31,Name,Drawing atop text,"Text box, flow diagram",Text and paragraph formatting,Insert hyperlink,Insert image,Resize image,Insert table,Insert audio,Insert video,Insert SWF,Attachment,Other objects,Remarks / other features
