,Server,Windows,Linux,macOS,BSD,Solaris,eComStation,OpenVMS,AIX,IBM i,z/OS,HP-UX
0,AOLserver,No,Yes,Yes,Yes,Yes,No,No,Unknown,No,Unknown,Unknown
1,Apache HTTP Server,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,Apache Tomcat,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
3,Boa,Unknown,Yes,No,Yes,Unknown,No,No,Unknown,No,Unknown,Unknown
4,Caddy,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Unknown,Unknown,Unknown
5,Caucho Resin Server,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6,Caudium[16],No,Yes,Yes,Yes,Yes,No,No,Yes,No,Unknown,Unknown
7,Cherokee HTTP Server,No[17],Yes,Yes,Yes,Yes,No,No,Unknown,No,Unknown,Unknown
8,HFS,Yes,No,No,No,No,No,No,No,No,No,No
9,Hiawatha,with Cygwin[18],Yes[18],Yes[18],Yes[18],Yes[18],No,No,No,No,No,No
10,IBM HTTP Server,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes
11,Internet Information Services,Yes,No,No,No,No,No,No,No,No,No,No
12,Jetty (Java),Yes,Yes,Yes,Yes,Yes,Yes,No,Unknown,No,Yes,Unknown
13,Jexus,No,Yes,No,Yes,Unknown,No,No,No,No,No,No
14,lighttpd,Yes(Cygwin),Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes
15,LiteSpeed Web Server,No,Yes,Yes,Yes,Yes,No,No,Unknown,No,Unknown,Unknown
16,Mongoose,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
17,Monkey HTTP Server,No,Yes,Yes,No,No,No,No,No,No,No,No
18,NaviServer,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,No,Unknown,Unknown
19,NCSA HTTPd,Unknown,Yes,No,Yes,Yes,Yes,No,Unknown,No,Unknown,Yes
20,nginx,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes
21,OpenLink Virtuoso,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes
22,Oracle HTTP Server,Yes,Yes,No,Unknown,Yes,No,No,Yes,No,Unknown,Unknown
23,Oracle iPlanet Web Server,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes
24,thttpd,Yes(Cygwin),Yes,Yes,Yes,Yes,No,No,Unknown,No,Unknown,Unknown
25,TUX web server,No,Yes,No,No,No,No,No,No,No,No,No
26,Wakanda Server,Yes,Yes(via libbsd),Yes,Yes,Unknown,No,No,No,No,No,No
27,Xitami,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Unknown,Yes
28,Yaws,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Unknown,Unknown
