,Chip series,Micro-architecture,Fab,Supported APIs,Supported APIs.1,Supported APIs.2,Supported APIs.3,Supported APIs.4,AMD support,Year introduced,Introduced with
0,Chip series,Micro-architecture,Fab,Rendering,Rendering,Rendering,Computing,Computing,AMD support,Year introduced,Introduced with
1,Chip series,Micro-architecture,Fab,Vulkan[4],OpenGL[5],Direct3D,HSA,OpenCL,AMD support,Year introduced,Introduced with
2,R100,Fixed-pipeline[a],180 nm150 nm,No,1.3,7.0,No,No,Ended,2000,"Original ""ATI Radeon"", as well as Radeon DDR, 7000, 7500, VE, and LE models"
3,R200,Programmablepixel & vertexpipelines,150 nm,No,1.3,8.1,No,No,Ended,2001,"8500, 9000, 9200 and 9250"
4,R300,Programmablepixel & vertexpipelines,150 nm130 nm110 nm,No,2.0[b],9.011 (FL 9_2),No,No,Ended,2002,"9500–9800, X300–X600, X1050"
5,R420,Programmablepixel & vertexpipelines,130 nm110 nm,No,2.0[b],9.0b11 (FL 9_2),No,No,Ended,2004,X700–X850
6,R520,Programmablepixel & vertexpipelines,90 nm80 nm,No,2.0[b],9.0c11 (FL 9_3),No,No,Ended,2005,X1300–X1950
7,R600,TeraScale 1,80 nm65 nm,No,3.3,10.011 (FL 10_0),No,ATI Stream,Ended,2007,"HD 2000 series, HD 3410"
8,RV670,TeraScale 1,55 nm,No,3.3,10.111 (FL 10_1),No,ATI Stream APP[6],Ended,2007,"HD 3450–3870, Mobility HD 2000 and 3000 series"
9,RV770,TeraScale 1,55 nm40 nm,No,3.3,10.111 (FL 10_1),No,1.0,Ended,2008,HD 4000 series
10,Evergreen,TeraScale 2,40 nm,No,4.5[c],11 (FL 11_0),No,1.2,Ended,2009,HD 5000 series
11,Northern Islands,TeraScale 2TeraScale 3,40 nm,No,4.5[c],11 (FL 11_0),No,1.2,Ended,2010,"HD 6000 series, and IGP 7000 series"
12,Southern Islands,GCN 1st gen,28 nm,1.0,4.6 (Mesa 4.5),11 (FL 11_1)12 (FL11_1),Yes,1.22.0 possible,Current,2012,HD 7000 series
13,Sea Islands,GCN 2nd gen,28 nm,1.1,4.6 (Mesa 4.5),11 (FL 12_0)12 (FL 12_0),Yes,"2.02.1 Beta in Linux ROCm2.2 possible (1.2 in MacOS, Linux)",Current,2013,Radeon 200 series
14,Volcanic Islands,GCN 3rd gen,28 nm,1.1,4.6 (Mesa 4.5),11 (FL 12_0)12 (FL 12_0),Yes,"2.02.1 Beta in Linux ROCm2.2 possible (1.2 in MacOS, Linux)",Current,2014,Radeon 300 series
15,Arctic Islands,GCN 4th gen,14 nm,1.1,4.6 (Mesa 4.5),11 (FL 12_0)12 (FL 12_0),Yes,"2.02.1 Beta in Linux ROCm2.2 possible (1.2 in MacOS, Linux)",Current,2016,Radeon 400 series
16,Vega,GCN 5th gen,14 nm7 nm,1.1,4.6 (Mesa 4.5),11 (FL 12_1)12 (FL 12_1),Yes,"2.02.1 Beta in Linux ROCm2.2 possible (1.2 in MacOS, Linux)",Current,2017,Radeon Vega series
17,Navi,RDNA 1st gen,7 nm,1.1,4.6 (Mesa 4.5),11 (FL 12_1)12 (FL 12_1),Yes,"2.02.1 Beta in Linux ROCm2.2 possible (1.2 in MacOS, Linux)",Current,2019,Radeon RX 5000 series
