,Model,Features,Features.1,Features.2,Features.3,Features.4,Features.5
0,Model,OpenEXR HDR,Scalable Link Interface (SLI),TurboCache,PureVideo WMV9 Decoding,,
1,GeForce 6100,No,No,No,Limited,,
2,GeForce 6150 SE,No,No,Driver-Side Only,Limited,,
3,GeForce 6150,No,No,No,Yes,,
4,GeForce 6150 LE,No,No,Driver-Side Only,Yes,,
5,GeForce 6200,No,No,Yes (PCIe only),Yes,,
6,GeForce 6500,No,Yes,Yes,Yes,,
7,GeForce 6600 LE,Yes,Yes (No SLI Connector),No,Yes,,
8,GeForce 6600,Yes,Yes (SLI Connector or PCIe Interface),No,Yes,,
9,GeForce 6600 DDR2,Yes,Yes (SLI Connector or PCIe Interface),No,Yes,,
10,GeForce 6600 GT,Yes,Yes,No,Yes,,
11,GeForce 6800 LE,Yes,No,No,No,,
12,GeForce 6800 XT,Yes,Yes (PCIe only),No,Yes (NV42 only),,
13,GeForce 6800,Yes,Yes (PCIe only),No,"Yes (NV41, NV42 only)",,
14,GeForce 6800 GTO,Yes,Yes,No,No,,
15,GeForce 6800 GS,Yes,Yes (PCIe only),No,Yes (NV42 only),,
16,GeForce 6800 GT,Yes,Yes (PCIe only),No,No,,
17,GeForce 6800 Ultra,Yes,Yes (PCIe only),No,No,,
